Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Fjz0ME9pzk553wH86m3ZZ,"Schwarz zu blau","Stadtaffe","Peter Fox",2008-09-26,215800,62,false,gemuetlichkeit,2025-12-18T21:03:48Z,"german pop","WM Germany",0.637,0.604,8,-5.197,1,0.329,0.0194,0,0.108,0.238,162.088,4
spotify:track:1B2s3CpX2PV0YN7DkLSQ4b,"069","Unzensiert","Haftbefehl;Bazzazian",2015-12-18,222767,76,true,gemuetlichkeit,2025-12-18T21:04:14Z,"german hip hop","Urban",0.707,0.723,0,-5.114,1,0.359,0.348,0,0.13,0.286,124.374,4
spotify:track:5UnUWUqvsEAm1jVuKIWT1O,"petit frère","Odyssee","RAPK",2022-10-07,144812,49,true,gemuetlichkeit,2025-12-18T21:04:32Z,"german hip hop","Columbia/RK",0.831,0.456,4,-7.405,0,0.0706,0.566,0.000209,0.109,0.378,133.005,4
spotify:track:20l2YWgtEXAAAEzoWs3gkE,"Powerade","In Liebe, Ion","BHZ;SIRA;Ion Miles",2022-06-24,142400,63,true,gemuetlichkeit,2025-12-18T21:05:02Z,"german hip hop,german indie","BHZ",0.89,0.72,6,-5.202,0,0.0729,0.193,0.437,0.641,0.935,150.09,4
spotify:track:3DDNThmGQvOQJBUfKGgY8k,"Meine Stadt schläft nie","Overdose","Disarstar;LUVRE47;Jugglerz",2024-01-19,137707,42,true,gemuetlichkeit,2025-12-18T21:06:02Z,"german hip hop,dancehall","GOLD LEAGUE/Disarstar X Jugglerz",0.835,0.589,10,-7.597,0,0.187,0.166,0,0.104,0.307,139.996,4
spotify:track:6dBHQPfvREo3yMPbAYZAPv,"Besuchstag","Hinterhofjargon","Celo & Abdi;XATAR;Veysel",2012-05-25,361421,55,true,gemuetlichkeit,2025-12-18T21:06:20Z,"german hip hop","385ideal",0.392,0.714,9,-5.188,0,0.284,0.0793,0,0.182,0.332,74.611,4
spotify:track:4ujG96VyO8MHsZ8aZIY0u8,"PAAR ECKEN HISH","PAAR ECKEN HISH","OG LU",2023-08-18,134311,44,false,gemuetlichkeit,2025-12-18T21:06:31Z,"german hip hop","Pilzkultur",0.894,0.431,10,-13.192,1,0.438,0.258,0,0.0881,0.36,109.069,4
spotify:track:2PMFaTd4KHKU2LgD4e7W1m,"Do Ya?","FC Chaya","Ebow",2024-09-27,138000,33,true,gemuetlichkeit,2025-12-18T21:06:48Z,"","Garip Werkstätten",0.854,0.711,1,-12.524,1,0.129,0.24,0.594,0.0607,0.747,100.047,4
spotify:track:6zP4Utvok4QRXlNYBZkpGa,"KETA UND KRAWALL","KETA UND KRAWALL","Ikkimel;Barré",2023-09-29,125492,67,true,gemuetlichkeit,2025-12-18T21:07:53Z,"german indie","Four Music Local",0.778,0.936,10,-5.392,0,0.237,0.0445,0.0144,0.137,0.701,157.054,4
spotify:track:4h6UIDvGWTYZvu4BLf2GpO,"Von Party zu Party","Leben am Limit","SXTN",2017-06-02,224186,65,true,gemuetlichkeit,2025-12-18T21:09:19Z,"german hip hop","JINX",0.694,0.895,1,-4.349,1,0.252,0.177,0,0.0749,0.621,120.002,4
spotify:track:4eqjuxCylVKJykllp83972,"Dieses eine Lied","Dieses eine Lied","Jassin",2025-02-06,142502,58,false,gemuetlichkeit,2025-12-18T21:10:32Z,"german indie,german indie pop","Columbia Local",0.547,0.627,7,-6.384,0,0.383,0.344,0,0.427,0.816,171.356,4
spotify:track:77oSUNYDsxEzZkZxEY8cNj,"Lebermord am Centercourt","Dr. Pöbel","Pöbel MC",2024-10-18,165400,51,false,gemuetlichkeit,2025-12-18T21:10:50Z,"german hip hop","Audiolith",0.908,0.821,8,-5.139,0,0.176,0.273,0,0.106,0.815,143.014,4
spotify:track:5gUXZV2Ir17qOWdtUJSh7l,"An Tagen wie diesen","Hitstory","Fettes Brot;Pascal Finkenauer",2023-02-10,235613,58,false,gemuetlichkeit,2025-12-18T21:11:11Z,"german pop,german hip hop","Fettes Brot Schallplatten",0.668,0.843,9,-6.239,0,0.111,0.0123,0,0.0632,0.726,79.65,4
spotify:track:5ZaUig2VTK2zXInuyY0Bl3,"Bye Bye aka Delicious","Trettmann","Trettmann;KITSCHKRIEG",2019-09-13,206586,45,false,gemuetlichkeit,2025-12-18T21:12:22Z,"german hip hop,german indie","SoulForce/BMG",0.781,0.611,8,-8.867,0,0.165,0.0199,0.000277,0.129,0.279,139.996,4
spotify:track:3qM75mSV84LHHJqlITqZsk,"Ein Affe und ein Pferd","Ganz Oben (Mixtape)","K.I.Z",2013-01-01,225693,58,true,gemuetlichkeit,2025-12-18T21:12:45Z,"german hip hop","Vertigo Berlin",0.762,0.798,2,-4.638,1,0.197,0.0951,0,0.139,0.846,138.012,4
spotify:track:56dPMvvJ5QLkNCxwGqUEKl,"Rossmann","Rossmann","Mehnersmoos;K.I.Z",2020-09-04,216750,49,true,gemuetlichkeit,2025-12-18T21:13:20Z,"german hip hop","recordJet",0.756,0.671,5,-4.925,0,0.181,0.174,0,0.163,0.696,160.04,4
spotify:track:086edN2nz8TjB3zddIdlPn,"Mama hat gesagt","Mama hat gesagt","SDP;Sido;Esther Graf",2024-05-02,196087,67,false,gemuetlichkeit,2025-12-18T21:14:57Z,"german pop,german hip hop,german indie","Nur Musik Ist Schöner",0.777,0.624,4,-5.687,1,0.183,0.149,0,0.136,0.815,90.094,4
spotify:track:4YZxwEHbmwwgdvhAUDwFXz,"Zeiten ändern dich","Zeiten ändern dich","Bushido",2010-02-22,214293,54,true,gemuetlichkeit,2025-12-18T21:15:21Z,"german hip hop","ersguterjunge/iGroove",0.655,0.845,7,-6.915,1,0.331,0.169,0,0.182,0.676,90.117,4
spotify:track:2xWEfTSpapoxnmkeSb0hHf,"So perfekt","XOXO","Casper;Marteria",2011-07-11,220706,53,false,gemuetlichkeit,2025-12-18T21:16:11Z,"german hip hop,german indie,german pop,german indie pop","Four Music Productions",0.669,0.828,8,-5.375,0,0.185,0.0214,0.00257,0.125,0.739,120.031,4
spotify:track:55Bld5Surw2eIw74xSvn2S,"OMG!","Zum Glück in die Zukunft II (Deluxe Version)","Marteria",2014-01-31,229640,60,false,gemuetlichkeit,2025-12-18T21:17:00Z,"german hip hop,german pop","Green Berlin",0.694,0.624,2,-10.474,1,0.0774,0.083,0,0.125,0.549,81.014,4
